Kernel,Fold,AUC_cal,AUC_val,Gap_AUC,AP_cal,AP_val,Gap_AP,Accuracy_cal,Accuracy_val,Gap_Accuracy,Precision_cal,Precision_val,Gap_Precision,Sensibilidad_cal,Sensibilidad_val,Gap_Sensibilidad,Especificidad_cal,Especificidad_val,Gap_Especificidad,F1_cal,F1_val,Gap_F1,R2_cal,R2_val,Gap_R2,MAE_cal,MAE_val,Gap_MAE,RMSE_cal,RMSE_val,Gap_RMSE,Brier_cal,Brier_val,Gap_Brier,LogLoss_cal,LogLoss_val,Gap_LogLoss
Matérn 0.5,8,0.9995044530804057,0.9639732533433322,0.03553119973707353,0.9994998218060043,0.9694283903747807,0.030071431431223594,0.9881364310430054,0.9011857707509882,0.08695066029201726,0.9881889763779528,0.8923076923076924,0.09588128407026042,0.9881889763779528,0.9133858267716536,0.07480314960629919,0.9880834160873883,0.8888888888888888,0.09919452719849942,0.9881889763779528,0.9027237354085603,0.08546524096939245,0.8709667893493671,0.6882533760471521,0.18271341330221502,0.1472426519944582,0.207475743591878,0.0602330915974198,0.1796041875933914,0.27916919314133787,0.09956500554794648,0.03225766420108212,0.07793543839918561,0.04567777419810349,0.1680481540595498,0.2794203942572003,0.11137224019765049
Matérn 0.5,9,0.9996178326517527,0.9522403449568804,0.04737748769487238,0.9996219116545009,0.9525565102743802,0.04706540138012072,0.9891250617894216,0.8893280632411067,0.09979699854831492,0.9882121807465619,0.8694029850746269,0.11880919567193504,0.9901574803149606,0.9173228346456693,0.07283464566929132,0.9880834160873883,0.8611111111111112,0.1269723049762771,0.9891838741396264,0.89272030651341,0.09646356762621644,0.8767322220437236,0.6449322137593096,0.23180000828441394,0.14341430853885115,0.2202897254598659,0.07687541692101474,0.1755458189621403,0.2979354959914137,0.12238967702927342,0.030816334555088535,0.08876555977164971,0.05794922521656118,0.16313228075256586,0.30714059765960344,0.14400831690703758
Matérn 0.5,10,0.9995039682539681,0.9620572826803024,0.037446685573665706,0.9995004663593494,0.966662942692228,0.03283752366712145,0.9886363636363636,0.902970297029703,0.08566606660666065,0.9882005899705014,0.9051383399209486,0.08306225004955281,0.9891732283464567,0.9015748031496063,0.08759842519685046,0.9880952380952381,0.9043824701195219,0.08371276797571625,0.9886866699458927,0.903353057199211,0.08533361274668172,0.8715767699814624,0.6841196382841593,0.18745713169730305,0.14571991511786647,0.2053606113118881,0.059640696194021625,0.1791795354439988,0.28101121600840795,0.10183168056440914,0.03210530592192722,0.07896730352252411,0.04686199760059689,0.16644519079789813,0.2812643767460156,0.11481918594811749
Matérn 0.5,11,0.999453627755319,0.9706442944631922,0.02880933329212676,0.9994528236682053,0.9742338067605518,0.02521901690765349,0.9901136925358379,0.9209486166007905,0.0691650759350474,0.9891944990176817,0.9115384615384615,0.07765603747922023,0.9911417322834646,0.9330708661417323,0.05807086614173229,0.9890764647467726,0.9087301587301587,0.08034630601661386,0.9901671583087512,0.9221789883268483,0.06798816998190294,0.8687875365218263,0.7163588045740058,0.15242873194782047,0.14855431983938786,0.19754832653818066,0.04899400669879281,0.18111451246362248,0.2662877973900903,0.08517328492646781,0.03280246662493566,0.07090919103886577,0.03810672441393011,0.16975550680021492,0.26265244914060654,0.09289694234039161
Matérn 0.5,12,0.9995122723611882,0.9627234095738033,0.03678886278738491,0.9995130964186496,0.963408763998487,0.036104332420162644,0.9876421156697973,0.8992094861660079,0.08843262950378938,0.9862610402355251,0.8801498127340824,0.10611122750144264,0.9891732283464567,0.9251968503937008,0.0639763779527559,0.9860973187686196,0.873015873015873,0.11308144575274659,0.9877149877149877,0.9021113243761996,0.0856036633387881,0.8714081936642938,0.6783993792602508,0.19300881440404294,0.14632494288512166,0.21030253152168166,0.06397758863656,0.17929672419326836,0.2835469962971715,0.10425027210390314,0.03214731530643695,0.08039889910914819,0.04825158380271124,0.16704834311439676,0.2853478536708748,0.11829951055647803
Matérn 0.5,13,0.9994526503452212,0.9563023372078491,0.043150313137372165,0.9994506244935939,0.9579552434671788,0.041495381026415146,0.9886307464162135,0.8932806324110671,0.09535011400514637,0.9882005899705014,0.8816793893129771,0.10652120065752435,0.9891732283464567,0.9094488188976378,0.07972440944881887,0.9880834160873883,0.876984126984127,0.11109928910326128,0.9886866699458927,0.8953488372093024,0.09333783273659035,0.8732313226839057,0.6597318822474738,0.21349944043643188,0.14547891344988823,0.2128126319696917,0.06733371851980346,0.17802118433616418,0.29166024832445914,0.11363906398829496,0.03169154207245054,0.08506570045268516,0.05337415838023462,0.16596833979952047,0.295817068333613,0.12984872853409252
Matérn 0.5,14,0.9995269335126555,0.9664416947881515,0.033085238724504085,0.9995362922580153,0.9705616192304498,0.028974673027565512,0.9891250617894216,0.9031620553359684,0.08596300645345323,0.9891732283464567,0.9019607843137255,0.0872124440327312,0.9891732283464567,0.905511811023622,0.08366141732283472,0.9890764647467726,0.9007936507936508,0.08828281395312176,0.9891732283464567,0.9037328094302554,0.08544041891620135,0.8711584090513453,0.6815579425614675,0.18960046648987783,0.1471608130311362,0.21463219855393845,0.06747138552280224,0.17947077818890078,0.28215114853611195,0.10268037034721117,0.03220976022372963,0.07960927062024711,0.047399510396517484,0.16789241204919583,0.284429292832486,0.11653688078329019
Matérn 0.5,15,0.9995274028246469,0.9674216519747779,0.032105750849869,0.9995252111602312,0.9722988650005205,0.027226346159710646,0.9896245059288538,0.904950495049505,0.08467401087934878,0.9901477832512315,0.8872180451127819,0.10292973813844963,0.9891732283464567,0.9291338582677166,0.06003937007874016,0.9900793650793651,0.8804780876494024,0.10960127742996273,0.9896602658788775,0.9076923076923077,0.08196795818656977,0.8711227608837881,0.6933384901851283,0.17778427069865987,0.14783407277945648,0.20832315610470248,0.060489083325245996,0.17949597884944973,0.2768802482701118,0.09738426942066208,0.03221880642312211,0.07666267188211875,0.044443865458996645,0.16854785053220533,0.2777107494554344,0.10916289892322906
Matérn 0.5,16,0.999529865742949,0.9697694038245218,0.029760461918427183,0.9995324625869276,0.9695741915606005,0.029958271026327088,0.9891250617894216,0.9130434782608695,0.0760815835285521,0.9882121807465619,0.9133858267716536,0.07482635397490833,0.9901574803149606,0.9133858267716536,0.07677165354330706,0.9880834160873883,0.9126984126984127,0.07538500338897558,0.9891838741396264,0.9133858267716536,0.0757980473679728,0.8688763989821539,0.7064484705461221,0.1624279284360317,0.14904392345913992,0.20063543798065092,0.051591514521511006,0.18105317298945311,0.2708998631211126,0.08984669013165947,0.03278025144954884,0.07338673583903753,0.04060648438948869,0.17012308019721867,0.2665362257561423,0.09641314555892361
Matérn 0.5,17,0.9996285841628287,0.9530839895013123,0.04654459466151639,0.9996316749386107,0.9590010792900532,0.04063059564855753,0.9881364310430054,0.8913043478260869,0.0968320832169185,0.9872298624754421,0.8812260536398467,0.10600380883559535,0.9891732283464567,0.905511811023622,0.08366141732283472,0.9870903674280039,0.876984126984127,0.11010624044387696,0.9882005899705014,0.8932038834951457,0.09499670647535574,0.8751713594309766,0.6484087270204631,0.22676263241051342,0.14473368274493362,0.22010818228724982,0.0753744995423162,0.17665373611974242,0.29647334624647426,0.11981961012673184,0.031206542485063587,0.08789644503458183,0.05668990254951824,0.16470836645702772,0.30519916124274166,0.14049079478571394
Matérn 0.5,18,0.999503475670308,0.951474815648044,0.048028660022263914,0.9995033760999796,0.9564222276804788,0.043081148419500837,0.990608007909046,0.8932806324110671,0.09732737549797887,0.9911330049261083,0.8875968992248062,0.10353610570130212,0.9901574803149606,0.9015748031496063,0.0885826771653544,0.9910625620655412,0.8849206349206349,0.10614192714490633,0.9906450024618415,0.89453125,0.0961137524618415,0.8752087412867152,0.6659918085199663,0.2092169327667489,0.14449283943642338,0.20489957889957794,0.06040673946315456,0.17662728330044558,0.2889649517397583,0.1123376684393127,0.031197197206095862,0.08350074333396083,0.052303546127864975,0.16458795146898964,0.29341840404460706,0.12883045257561743
Matérn 0.5,19,0.9994741533673733,0.9663479565054368,0.03312619686193652,0.9994751626228878,0.9710013206693591,0.028473841953528756,0.9876421156697973,0.8972332015810277,0.09040891408876961,0.9853085210577864,0.8914728682170543,0.09383565284073214,0.9901574803149606,0.905511811023622,0.08464566929133865,0.9851042701092354,0.8888888888888888,0.09621538122034656,0.9877270495827197,0.8984375,0.08928954958271973,0.870443914312082,0.6808966432574968,0.18954727105458524,0.1476735258924128,0.2139919788331478,0.06631845294073499,0.1799677203645043,0.2824439641121803,0.102476243747676,0.03238838037319642,0.0797745928634026,0.047386212490206185,0.1685927119903445,0.2831446941801489,0.11455198218980442
Matérn 0.5,20,0.9994326881014873,0.9694450544279574,0.029987633673529968,0.9994331783218942,0.9740228717043173,0.025410306617576817,0.9876482213438735,0.9207920792079208,0.0668561421359527,0.9862610402355251,0.9115384615384615,0.07472257869706356,0.9891732283464567,0.9330708661417323,0.05610236220472442,0.9861111111111112,0.9083665338645418,0.07774457724656936,0.9877149877149877,0.9221789883268483,0.06553599938813937,0.8683186598498683,0.7067539791438642,0.16156468070600416,0.14836139496132925,0.20513809997542223,0.05677670501409299,0.18143820085533946,0.2707561966101463,0.08931799575480687,0.032919820729622504,0.07330891800279223,0.04038909727316972,0.1696510930677142,0.2711636699793613,0.10151257691164711
Matérn 0.5,21,0.9994526503452212,0.9651137357830271,0.03433891456219418,0.9994601665007159,0.9678784119511051,0.03158175454961076,0.9896193771626297,0.9071146245059288,0.08250475265670087,0.9891838741396264,0.8905660377358491,0.0986178364037773,0.9901574803149606,0.9291338582677166,0.0610236220472441,0.9890764647467726,0.8849206349206349,0.10415582982613769,0.9896704377766847,0.9094412331406551,0.08022920463602967,0.8711943218218341,0.6932343762153308,0.1779599456065033,0.14676160526308465,0.20580042289351383,0.059038817630429175,0.1794457639756517,0.27692996914641993,0.09748420517076822,0.032200782208805304,0.0766902078114371,0.04448942560263179,0.16756855986679892,0.2773660304328566,0.10979747056605771
Matérn 0.5,22,0.9994604696260038,0.9582552180977378,0.04120525152826593,0.9994532241961683,0.9588436022007982,0.040609621995370104,0.9896193771626297,0.8992094861660079,0.09040989099662178,0.9911154985192497,0.9043824701195219,0.08673302839972785,0.9881889763779528,0.8937007874015748,0.09448818897637801,0.9910625620655412,0.9047619047619048,0.08630065730363645,0.9896500739280434,0.899009900990099,0.09064017293794435,0.871940522215216,0.673176677555936,0.19876384465928,0.14589859719309112,0.21028025473304637,0.06438165753995526,0.17892522405376424,0.2858400849022349,0.10691486084847066,0.03201423580268973,0.08170455413691685,0.04969031833422712,0.16658528727572963,0.28844408331200655,0.12185879603627692
Matérn 0.5,23,0.9994643792663951,0.969206974128234,0.03025740513816111,0.9994638888067545,0.9740438745317699,0.025420014274984637,0.9886307464162135,0.8972332015810277,0.0913975448351858,0.9862879529872673,0.89453125,0.09175670298726735,0.9911417322834646,0.9015748031496063,0.08956692913385833,0.9860973187686196,0.8928571428571429,0.09324017591147671,0.9887088856161022,0.8980392156862745,0.09066966992982761,0.8703255862234506,0.6908175561824136,0.179508030041037,0.147672013919665,0.20746195832532927,0.059789944405664264,0.1800498870031917,0.2780187104859861,0.0979688234827944,0.032417961809862096,0.07729440338029055,0.04487644157042845,0.16859740777332313,0.275805137906063,0.10720773013273985
Matérn 0.5,24,0.9994477632947321,0.9730658667666541,0.026381896528077986,0.9994445775318598,0.9768638904322794,0.022580687099580388,0.9901136925358379,0.9130434782608695,0.07707021427496841,0.9882352941176471,0.9007633587786259,0.0874719353390212,0.9921259842519685,0.9291338582677166,0.06299212598425197,0.9880834160873883,0.8968253968253969,0.0912580192619914,0.9901768172888016,0.9147286821705426,0.07544813511825899,0.8694876411931958,0.7176127305272446,0.15187491066595116,0.14945934909373207,0.19694300214462943,0.047483653050897356,0.18063068377559693,0.265698540545513,0.08506785676991607,0.032627443921239695,0.07059571444801563,0.037968270526775934,0.17048714379825977,0.2598902418545489,0.08940309805628913
Matérn 0.5,25,0.999508850456193,0.9643316497788375,0.035177200677355525,0.9995209565480061,0.9654785492258962,0.03404240732210995,0.9891304347826086,0.8950495049504951,0.09408092983211358,0.9882121807465619,0.879245283018868,0.10896689772769397,0.9901574803149606,0.9173228346456693,0.07283464566929132,0.9880952380952381,0.8725099601593626,0.11558527793587559,0.9891838741396264,0.8978805394990366,0.09130333464058982,0.8712371496827076,0.672622317915821,0.19861483176688655,0.14667626491530744,0.21724989072045636,0.07057362580514892,0.1794163026878011,0.2860795906345104,0.10666328794670929,0.03219020967016066,0.08184153217760905,0.04965132250744839,0.16742247063457705,0.2907829117803004,0.12336044114572337
